,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,100,NZ,1576471386,71,-46.19,168.86,13.74,4.71
1,bredasdorp,30,ZA,1576471386,87,-34.53,20.04,9.0,2.1
2,inhambane,75,MZ,1576471386,88,-23.87,35.38,23.0,7.7
3,rikitea,37,PF,1576471387,75,-23.12,-134.97,22.31,8.87
4,farafangana,0,MG,1576471387,79,-22.82,47.83,26.92,3.24
5,thessalon,75,CA,1576471387,85,46.26,-83.55,-8.0,1.11
6,cabo san lucas,40,MX,1576471346,64,22.89,-109.91,22.22,5.1
7,sao filipe,93,CV,1576471387,81,14.9,-24.5,20.51,10.23
8,chapais,1,CA,1576471387,76,49.78,-74.86,-22.0,6.7
9,hermosillo,5,MX,1576471283,87,29.09,-110.96,17.22,1.5
10,new norfolk,40,AU,1576471387,45,-42.78,147.06,20.56,7.7
11,klaksvik,83,FO,1576471388,81,62.23,-6.59,3.0,3.6
12,albany,20,US,1576471203,50,42.65,-73.75,-1.67,5.7
13,chenghai,75,CN,1576471388,64,23.46,116.77,23.0,2.0
14,robertson,75,AU,1576471388,52,-34.59,150.59,22.78,6.7
15,hilo,1,US,1576471388,73,19.71,-155.08,24.0,2.24
16,grindavik,50,IS,1576471388,71,63.84,-22.43,0.0,5.1
17,vaini,88,IN,1576471389,69,15.34,74.49,23.0,3.1
18,cayenne,75,GF,1576471389,100,4.94,-52.33,25.0,1.0
19,medianeira,100,BR,1576471389,94,-25.3,-54.09,21.0,3.1
20,qaanaaq,61,GL,1576471389,56,77.48,-69.36,-20.22,2.74
21,punta arenas,20,CL,1576471389,81,-53.16,-70.91,7.0,5.7
22,avera,1,US,1576471538,100,33.19,-82.53,11.11,2.73
23,isangel,75,VU,1576471538,74,-19.55,169.27,29.0,3.1
24,vila,75,IT,1576471538,100,45.18,8.4,7.22,1.0
25,hobyo,46,SO,1576471539,64,5.35,48.53,26.84,7.43
26,campbell river,90,CA,1576471539,74,50.02,-125.24,3.0,1.5
27,east london,12,ZA,1576471539,63,-33.02,27.91,16.0,5.1
28,fort smith,90,US,1576471539,100,35.39,-94.42,7.0,2.1
29,great yarmouth,86,GB,1576471539,97,52.61,1.73,7.22,4.02
30,francisco morato,100,BR,1576471539,94,-23.28,-46.74,25.0,3.92
31,bluff,30,AU,1576471539,16,-23.58,149.07,39.91,2.96
32,katsuura,20,JP,1576471540,62,33.93,134.5,15.0,2.6
33,port lincoln,32,AU,1576471540,29,-34.72,135.86,27.17,4.06
34,shupiyan,84,IN,1576471540,78,33.72,74.83,-3.37,3.26
35,palana,98,RU,1576471540,94,59.08,159.95,-12.55,3.35
36,narsaq,5,GL,1576471540,29,60.91,-46.05,-4.0,8.7
37,port alfred,26,ZA,1576471541,74,-33.59,26.89,17.78,2.24
38,bailen,100,ES,1576471541,79,38.1,-3.78,7.51,1.74
39,verkhnyaya inta,99,RU,1576471541,94,65.99,60.32,-9.1,1.49
40,brae,86,GB,1576471541,86,60.4,-1.35,6.0,3.6
41,avarua,5,CK,1576471541,69,-21.21,-159.78,26.0,5.1
42,bontang,85,ID,1576471542,69,0.12,117.47,28.46,2.86
43,tuktoyaktuk,5,CA,1576471542,82,69.44,-133.03,-29.0,3.6
44,fairbanks,1,US,1576471532,83,64.84,-147.72,-14.44,1.55
45,bambous virieux,75,MU,1576471542,78,-20.34,57.76,28.33,4.6
46,touros,20,BR,1576471542,83,-5.2,-35.46,25.0,3.1
47,tura,29,RU,1576471542,93,64.27,100.22,-32.36,0.87
48,san cristobal,16,HN,1576471542,95,14.68,-86.92,17.14,1.34
49,dikson,91,RU,1576471543,92,73.51,80.55,-21.52,3.18
50,hobart,40,AU,1576471537,45,-42.88,147.33,21.11,7.7
51,ushuaia,75,AR,1576471347,98,-54.81,-68.31,4.0,12.3
52,husavik,3,CA,1576471543,94,50.56,-96.99,-20.38,3.95
53,naze,1,NG,1576471543,87,5.43,7.07,21.47,1.28
54,vila franca do campo,40,PT,1576471543,66,37.72,-25.43,12.0,4.6
55,komsomolskiy,99,RU,1576471543,97,67.55,63.78,-14.93,2.93
56,eyl,18,SO,1576471544,73,7.98,49.82,26.03,8.45
57,banda aceh,85,ID,1576471544,60,5.56,95.32,30.04,3.61
58,saint anthony,90,US,1576471544,79,43.97,-111.68,-6.0,4.6
59,bereda,100,ES,1576471544,1,43.27,-7.54,10.0,0.45
60,bure,19,NG,1576471544,19,10.52,10.33,17.53,2.85
61,kavieng,100,PG,1576471544,78,-2.57,150.8,28.5,10.1
62,tubuala,20,PA,1576471545,88,9.52,-79.03,25.0,2.6
63,chuy,96,UY,1576471545,91,-33.69,-53.46,18.29,6.46
64,puerto ayora,56,EC,1576471545,90,-0.74,-90.35,22.78,0.89
65,dingzhou,75,CN,1576471545,81,38.51,115.0,2.0,1.0
66,cape town,26,ZA,1576471447,67,-33.93,18.42,15.56,3.1
67,kruisfontein,26,ZA,1576471545,59,-34.0,24.73,16.83,3.16
68,tigzirt,26,DZ,1576471545,64,36.57,4.2,10.61,6.48
69,masallatah,69,LY,1576471546,77,32.62,14.0,11.93,4.92
70,kahului,20,US,1576471546,73,20.89,-156.47,25.0,9.8
